Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Rolling_14,Std_14,Upper_band,Lower_band
2018-01-30,AXISBANK,EQ,605.55,605.6,607.45,592.45,595.0,593.75,596.27,6447963,3844728785.6,119235,4439153,68.85,-1.9486417306580741,Negative,586.8321428571427,23.30284405837098,633.4378309738846,540.2264547404008
2018-01-31,AXISBANK,EQ,593.75,589.3,596.0,587.15,593.6,593.6,591.57,7108060,4204893323.1,141039,4785849,67.33,-0.025263157894728216,Slight or No change,589.0321428571427,22.291414414374184,633.6149716858911,544.4493140283944
2018-02-01,AXISBANK,EQ,593.6,593.6,610.0,586.1,592.45,592.8,597.28,7839731,4682507866.9,106898,3546561,45.24,-0.13477088948787852,Slight or No change,591.4642857142856,20.520472222142953,632.5052301585714,550.4233412699997
2018-02-02,AXISBANK,EQ,592.8,587.8,587.8,561.3,565.0,564.9,574.72,6185174,3554724850.65,59876,3383987,54.71,-4.706477732793524,Among top losers,592.1642857142855,19.316408216166543,630.7971021466186,553.5314692819524
2018-02-05,AXISBANK,EQ,564.9,551.1,568.65,547.5,566.15,566.25,558.23,9318595,5201898676.1,84854,5470364,58.7,0.23898035050451405,Slight or No change,592.5714285714284,18.647279800442835,629.8659881723141,555.2768689705428
2018-02-06,AXISBANK,EQ,566.25,543.0,577.05,534.0,565.05,563.7,546.48,13938327,7617079383.5,130833,7636640,54.79,-0.4503311258278075,Slight or No change,592.6071428571428,18.587080471110028,629.7813037993628,555.4329819149227
2018-02-07,AXISBANK,EQ,563.7,568.0,574.65,556.0,558.65,559.35,566.01,7679830,4346838428.5,99330,4078244,53.1,-0.7716870675891441,Slight negative,590.7607142857141,20.558875853839574,631.8784659933933,549.6429625780349
2018-02-08,AXISBANK,EQ,559.35,562.8,576.9,559.7,570.0,568.45,570.01,5816886,3315665411.65,92355,2794126,48.03,1.6268883525520694,Positive,589.592857142857,21.371834962639312,632.3365270681356,546.8491872175784
2018-02-09,AXISBANK,EQ,568.45,559.9,561.95,550.4,558.05,557.55,555.89,5865587,3260634336.85,67074,2514416,42.87,-1.9174949423872099,Negative,587.2571428571428,23.01797673009551,633.2930963173337,541.2211893969518
2018-02-12,AXISBANK,EQ,557.55,563.7,568.0,560.35,562.6,564.2,564.12,4765319,2688214842.25,52010,2653218,55.68,1.1927181418706967,Positive,583.8749999999999,22.649670994383477,629.1743419887669,538.5756580112329
2018-02-14,AXISBANK,EQ,564.2,565.0,565.85,540.1,541.8,543.9,549.08,6478108,3557014143.95,80356,3102459,47.89,-3.5980148883374863,Among top losers,578.4321428571428,22.429553024995293,623.2912489071334,533.5730368071522
2018-02-15,AXISBANK,EQ,543.9,534.75,554.8,531.35,543.7,543.7,543.53,11593643,6301534721.25,100722,4095375,35.32,-0.03677146534287745,Slight or No change,573.8428571428572,22.498306407567057,618.8394699579912,528.8462443277231
2018-02-16,AXISBANK,EQ,543.7,547.05,548.6,535.0,538.75,537.85,539.56,3910503,2109950927.1,58185,1060318,27.11,-1.0759610079087767,Negative,568.2535714285714,20.852443725871762,609.9584588803149,526.5486839768279
2018-02-19,AXISBANK,EQ,537.85,537.85,544.95,527.5,541.75,540.55,533.99,4251723,2270377956.4,56866,1420617,33.41,0.5019986985218772,Slight positive,563.6107142857142,19.0695002008989,601.749714687512,525.4717138839163
2018-02-20,AXISBANK,EQ,540.55,542.0,548.05,529.4,530.7,531.7,540.04,3395183,1833522628.5,56937,898657,26.47,-1.6372213486263831,Negative,559.1785714285713,18.73355395956799,596.6456793477073,521.7114635094354
2018-02-21,AXISBANK,EQ,531.7,534.0,538.5,524.4,536.0,535.8,531.37,4638382,2464681322.45,62749,1971817,42.51,0.7711115290577331,Slight positive,555.0499999999998,16.83720696735496,588.7244139347098,521.3755860652899
2018-02-22,AXISBANK,EQ,535.8,533.0,533.75,527.5,529.2,530.25,530.37,7808359,4141357704.9,89927,5272318,67.52,-1.0358342665173437,Negative,550.5821428571427,14.13098895693833,578.8441207710193,522.320164943266
2018-02-23,AXISBANK,EQ,530.25,527.0,538.9,525.55,537.5,536.65,533.8,3888629,2075756240.45,55264,1517831,39.03,1.2069778406412102,Positive,548.5642857142856,13.944952610056443,576.4541909343984,520.6743804941727
2018-02-26,AXISBANK,EQ,536.65,541.1,554.4,539.0,550.0,552.3,548.09,5297794,2903644096.85,96778,2124203,40.1,2.9162396347712565,Positive,547.567857142857,13.053950288394931,573.6757577196469,521.459956566067
2018-02-27,AXISBANK,EQ,552.3,551.6,551.6,536.15,539.5,538.4,543.06,4136383,2246284235.85,54454,1563836,37.81,-2.51674814412457,Negative,545.760714285714,12.382853818136542,570.5264219219871,520.9950066494409
2018-02-28,AXISBANK,EQ,538.4,534.0,536.5,520.0,526.7,528.75,528.11,6626661,3499601151.7,102972,2576056,38.87,-1.792347696879637,Negative,543.5749999999997,12.49974999750087,568.5744999950015,518.5755000049979
2018-03-01,AXISBANK,EQ,528.75,524.0,535.55,522.0,526.65,525.75,529.37,9827510,5202366026.0,80903,5956431,60.61,-0.5673758865248235,Slight negative,540.5249999999997,11.09365289773443,562.7123057954686,518.3376942045309
2018-03-05,AXISBANK,EQ,525.75,524.0,528.95,521.3,524.55,524.55,524.79,6766199,3550854046.95,78220,3828015,56.58,-0.2282453637660553,Slight or No change,538.1678571428569,10.696739387145689,559.5613359171482,516.7743783685655
2018-03-06,AXISBANK,EQ,524.55,526.0,530.65,511.2,512.5,517.35,524.45,12240160,6419343386.15,124317,6878695,56.2,-1.372605090077195,Negative,534.8214285714283,9.14159374856328,553.1046160685548,516.5382410743018
2018-03-07,AXISBANK,EQ,517.35,510.9,517.9,507.55,515.2,512.65,512.17,10428057,5340935464.4,125638,5662399,54.3,-0.9084758867304644,Slight negative,532.5892857142856,10.472641621267792,553.5345689568211,511.64400247174996
